,Province,Municities,Barangay,Total
0,ABRA,BANGUED (CAPITAL),AGTANGAO, 58 
1,ABRA,BANGUED (CAPITAL),ANGAD, 52 
2,ABRA,BANGUED (CAPITAL),BAÑACAO, 23 
3,ABRA,BANGUED (CAPITAL),BANGBANGAR, 36 
4,ABRA,BANGUED (CAPITAL),CABULOAN, 15 
5,ABRA,BANGUED (CAPITAL),CALABA, 76 
6,ABRA,BANGUED (CAPITAL),COSILI EAST (PROPER), 15 
7,ABRA,BANGUED (CAPITAL),COSILI WEST (BUAYA), 26 
8,ABRA,BANGUED (CAPITAL),DANGDANGLA, 16 
9,ABRA,BANGUED (CAPITAL),LINGTAN, 17 
10,ABRA,BANGUED (CAPITAL),LIPCAN, 40 
11,ABRA,BANGUED (CAPITAL),LUBONG, 15 
12,ABRA,BANGUED (CAPITAL),MACARCARMAY, 12 
13,ABRA,BANGUED (CAPITAL),MACRAY, 18 
14,ABRA,BANGUED (CAPITAL),MALITA, 8 
15,ABRA,BANGUED (CAPITAL),MAOAY, 10 
16,ABRA,BANGUED (CAPITAL),PALAO, 37 
17,ABRA,BANGUED (CAPITAL),PATUCANNAY, 30 
18,ABRA,BANGUED (CAPITAL),SAGAP, 7 
19,ABRA,BANGUED (CAPITAL),SAN ANTONIO, 18 
20,ABRA,BANGUED (CAPITAL),SANTA ROSA, 35 
21,ABRA,BANGUED (CAPITAL),SAO-ATAN, 11 
22,ABRA,BANGUED (CAPITAL),SAPPAAC, 15 
23,ABRA,BANGUED (CAPITAL),TABLAC (CALOT), 19 
24,ABRA,BANGUED (CAPITAL),ZONE 1 POB. (NALASIN), 45 
25,ABRA,BANGUED (CAPITAL),ZONE 2 POB. (CONSILIMAN), 27 
26,ABRA,BANGUED (CAPITAL),ZONE 3 POB. (LALAUD), 53 
27,ABRA,BANGUED (CAPITAL),ZONE 4 POB. (TOWN PROPER), 26 
28,ABRA,BANGUED (CAPITAL),ZONE 5 POB. (BO. BARIKIR), 59 
29,ABRA,BANGUED (CAPITAL),ZONE 6 POB. (SINAPANGAN), 51 
30,ABRA,BANGUED (CAPITAL),ZONE 7 POB. (BALILING), 79 
31,ABRA,BOLINEY,AMTI, 3 
32,ABRA,BOLINEY,BAO-YAN, 6 
33,ABRA,BOLINEY,DANAC EAST, 4 
34,ABRA,BOLINEY,DANAC WEST, 11 
35,ABRA,BOLINEY,DAO-ANGAN, 3 
36,ABRA,BOLINEY,DUMAGAS, 6 
37,ABRA,BOLINEY,KILONG-OLAO, 1 
38,ABRA,BOLINEY,POBLACION (BOLINEY), 5 
39,ABRA,BUCAY,ABANG, 10 
40,ABRA,BUCAY,BANGBANGCAG, 9 
41,ABRA,BUCAY,BANGCAGAN, 7 
42,ABRA,BUCAY,BANGLOLAO, 8 
43,ABRA,BUCAY,BUGBOG, 15 
44,ABRA,BUCAY,CALAO, 11 
45,ABRA,BUCAY,DUGONG, 18 
46,ABRA,BUCAY,LABON, 13 
47,ABRA,BUCAY,LAYUGAN, 9 
48,ABRA,BUCAY,MADALIPAY, 6 
49,ABRA,BUCAY,NORTH POBLACION, 12 
50,ABRA,BUCAY,PAGALA, 18 
51,ABRA,BUCAY,PAKILING, 9 
52,ABRA,BUCAY,PALAQUIO, 10 
53,ABRA,BUCAY,PATOC, 6 
54,ABRA,BUCAY,QUIMLOONG, 7 
55,ABRA,BUCAY,SALNEC, 5 
56,ABRA,BUCAY,SAN MIGUEL, 8 
57,ABRA,BUCAY,SIBLONG, 16 
58,ABRA,BUCAY,SOUTH POBLACION, 19 
59,ABRA,BUCAY,TABIOG, 17 
60,ABRA,BUCLOC,DUCLIGAN, 4 
61,ABRA,BUCLOC,LABAAN, 10 
62,ABRA,BUCLOC,LAMAO (POB.), 9 
63,ABRA,BUCLOC,LINGAY, 4 
64,ABRA,DAGUIOMAN,CABARUYAN, 5 
65,ABRA,DAGUIOMAN,PIKEK, 5 
66,ABRA,DAGUIOMAN,TUI (POB.), 9 
67,ABRA,DANGLAS,ABAQUID, 1 
68,ABRA,DANGLAS,CABARUAN, 14 
69,ABRA,DANGLAS,CAUPASAN (POB.), 14 
70,ABRA,DANGLAS,DANGLAS, 8 
71,ABRA,DANGLAS,NAGAPARAN, 12 
72,ABRA,DANGLAS,PADANGITAN, 11 
73,ABRA,DANGLAS,PANGAL, 7 
74,ABRA,DOLORES,BAYAAN, 4 
75,ABRA,DOLORES,CABAROAN, 4 
76,ABRA,DOLORES,CALUMBAYA, 5 
77,ABRA,DOLORES,CARDONA, 6 
78,ABRA,DOLORES,ISIT, 11 
79,ABRA,DOLORES,KIMMALABA, 18 
80,ABRA,DOLORES,LIBTEC, 6 
81,ABRA,DOLORES,LUB-LUBBA, 1 
82,ABRA,DOLORES,MUDIIT, 25 
83,ABRA,DOLORES,NAMIT-INGAN, 8 
84,ABRA,DOLORES,PACAC, 7 
85,ABRA,DOLORES,POBLACION, 32 
86,ABRA,DOLORES,SALUCAG, 6 
87,ABRA,DOLORES,TALOGTOG, 15 
88,ABRA,DOLORES,TAPING, 2 
89,ABRA,LA PAZ,BENBEN (BONBON), 2 
90,ABRA,LA PAZ,BULBULALA, 21 
91,ABRA,LA PAZ,BULI, 22 
92,ABRA,LA PAZ,CANAN (GAPAN), 7 
93,ABRA,LA PAZ,LIGUIS, 7 
94,ABRA,LA PAZ,MALABBAGA, 23 
95,ABRA,LA PAZ,MUDENG, 11 
96,ABRA,LA PAZ,PIDIPID, 11 
97,ABRA,LA PAZ,POBLACION, 46 
98,ABRA,LA PAZ,SAN GREGORIO, 6 
99,ABRA,LA PAZ,TOON, 7 
100,ABRA,LA PAZ,UDANGAN, 3 
101,ABRA,LACUB,BACAG, 1 
102,ABRA,LACUB,BUNEG, 4 
103,ABRA,LACUB,GUINGUINABANG, 3 
104,ABRA,LACUB,LAN-AG, 2 
105,ABRA,LACUB,PACOC, 1 
106,ABRA,LACUB,POBLACION (TALAMPAC), 19 
107,ABRA,LAGANGILANG,AGUET, 4 
108,ABRA,LAGANGILANG,BACOOC, 2 
109,ABRA,LAGANGILANG,BALAIS, 8 
110,ABRA,LAGANGILANG,CAYAPA, 13 
111,ABRA,LAGANGILANG,DALAGUISEN, 11 
112,ABRA,LAGANGILANG,LAANG, 17 
113,ABRA,LAGANGILANG,LAGBEN, 4 
114,ABRA,LAGANGILANG,LAGUIBEN, 19 
115,ABRA,LAGANGILANG,NAGTIPULAN, 12 
116,ABRA,LAGANGILANG,NAGTUPACAN, 14 
117,ABRA,LAGANGILANG,PAGANAO, 4 
118,ABRA,LAGANGILANG,PAWA, 5 
119,ABRA,LAGANGILANG,POBLACION, 26 
120,ABRA,LAGANGILANG,PRESENTAR, 6 
121,ABRA,LAGANGILANG,SAN ISIDRO, 13 
122,ABRA,LAGANGILANG,TAGODTOD, 36 
123,ABRA,LAGANGILANG,TAPING, 5 
124,ABRA,LAGAYAN,BA-I, 10 
125,ABRA,LAGAYAN,COLLAGO, 13 
126,ABRA,LAGAYAN,PANG-OT, 4 
127,ABRA,LAGAYAN,POBLACION, 11 
128,ABRA,LAGAYAN,PULOT, 9 
129,ABRA,LANGIDEN,BAAC, 5 
130,ABRA,LANGIDEN,DALAYAP (NALAAS), 10 
131,ABRA,LANGIDEN,MABUNGTOT, 2 
132,ABRA,LANGIDEN,MALAPAAO, 10 
133,ABRA,LANGIDEN,POBLACION, 12 
134,ABRA,LANGIDEN,QUILLAT, 7 
135,ABRA,LICUAN-BAAY (LICUAN),BONGLO (PATAGUI), 3 
136,ABRA,LICUAN-BAAY (LICUAN),BULBULALA, 4 
137,ABRA,LICUAN-BAAY (LICUAN),CAWAYAN, 8 
138,ABRA,LICUAN-BAAY (LICUAN),DOMENGLAY, 5 
139,ABRA,LICUAN-BAAY (LICUAN),LENNENG, 3 
140,ABRA,LICUAN-BAAY (LICUAN),MAPISLA, 3 
141,ABRA,LICUAN-BAAY (LICUAN),MOGAO, 5 
142,ABRA,LICUAN-BAAY (LICUAN),NALBUAN, 4 
143,ABRA,LICUAN-BAAY (LICUAN),POBLACION, 4 
144,ABRA,LICUAN-BAAY (LICUAN),SUBAGAN, 6 
145,ABRA,LICUAN-BAAY (LICUAN),TUMALIP, 2 
146,ABRA,LUBA,AMPALIOC, 13 
147,ABRA,LUBA,BARIT, 4 
148,ABRA,LUBA,GAYAMAN, 5 
149,ABRA,LUBA,LUL-LUNO, 8 
150,ABRA,LUBA,LUZONG, 11 
151,ABRA,LUBA,NAGBUKEL-TUQUIPA, 7 
152,ABRA,LUBA,POBLACION, 16 
153,ABRA,LUBA,SABNANGAN, 5 
154,ABRA,MALIBCONG,BAYABAS, 4 
155,ABRA,MALIBCONG,BINASARAN, 2 
156,ABRA,MALIBCONG,BUANAO, 15 
157,ABRA,MALIBCONG,DULAO, 8 
158,ABRA,MALIBCONG,DULDULAO, 2 
159,ABRA,MALIBCONG,GACAB, 8 
160,ABRA,MALIBCONG,LAT-EY, 5 
161,ABRA,MALIBCONG,MALIBCONG (POB.), 10 
162,ABRA,MALIBCONG,MATARAGAN, 11 
163,ABRA,MALIBCONG,PACGUED, 2 
164,ABRA,MALIBCONG,TARIPAN, 6 
165,ABRA,MALIBCONG,UMNAP, 6 
166,ABRA,MANABO,AYYENG (POB.), 21 
167,ABRA,MANABO,CATACDEGAN NUEVO, 5 
168,ABRA,MANABO,CATACDEGAN VIEJO, 2 
169,ABRA,MANABO,LUZONG, 11 
170,ABRA,MANABO,SAN JOSE NORTE, 4 
171,ABRA,MANABO,SAN JOSE SUR, 9 
172,ABRA,MANABO,SAN JUAN NORTE, 15 
173,ABRA,MANABO,SAN JUAN SUR, 12 
174,ABRA,MANABO,SAN RAMON EAST, 26 
175,ABRA,MANABO,SAN RAMON WEST, 23 
176,ABRA,MANABO,SANTO TOMAS, 9 
177,ABRA,PEÑARRUBIA,DUMAYCO, 14 
178,ABRA,PEÑARRUBIA,LUSUAC, 15 
179,ABRA,PEÑARRUBIA,MALAMSIT (PAU-MALAMSIT), 14 
180,ABRA,PEÑARRUBIA,NAMARABAR, 16 
181,ABRA,PEÑARRUBIA,PATIAO, 8 
182,ABRA,PEÑARRUBIA,POBLACION, 31 
183,ABRA,PEÑARRUBIA,RIANG (TIANG), 12 
184,ABRA,PEÑARRUBIA,SANTA ROSA, 3 
185,ABRA,PEÑARRUBIA,TATTAWA, 7 
186,ABRA,PIDIGAN,ALINAYA, 9 
187,ABRA,PIDIGAN,ARAB, 11 
188,ABRA,PIDIGAN,GARRETA, 14 
189,ABRA,PIDIGAN,IMMULI, 5 
190,ABRA,PIDIGAN,LASKIG, 8 
191,ABRA,PIDIGAN,MONGGOC, 26 
192,ABRA,PIDIGAN,NAGUIRAYAN, 12 
193,ABRA,PIDIGAN,PAMUTIC, 9 
194,ABRA,PIDIGAN,PANGTUD, 12 
195,ABRA,PIDIGAN,POBLACION EAST, 37 
196,ABRA,PIDIGAN,POBLACION WEST, 30 
197,ABRA,PIDIGAN,SAN DIEGO, 6 
198,ABRA,PIDIGAN,SULBEC, 7 
199,ABRA,PIDIGAN,SUYO (MALIDONG), 9 
200,ABRA,PIDIGAN,YUYENG, 11 
201,ABRA,PILAR,BOLBOLO, 13 
202,ABRA,PILAR,BROOKSIDE, 6 
203,ABRA,PILAR,DALIT, 20 
204,ABRA,PILAR,DINTAN, 8 
205,ABRA,PILAR,GAPANG, 9 
206,ABRA,PILAR,KINABITI, 4 
207,ABRA,PILAR,MALIPLIPIT, 6 
208,ABRA,PILAR,NAGCANASAN, 3 
209,ABRA,PILAR,NANANGDUAN, 5 
210,ABRA,PILAR,NARNARA, 5 
211,ABRA,PILAR,OCUP, 8 
212,ABRA,PILAR,PANG-OT, 9 
213,ABRA,PILAR,PATAD, 3 
214,ABRA,PILAR,POBLACION, 31 
215,ABRA,PILAR,SAN JUAN EAST, 3 
216,ABRA,PILAR,SAN JUAN WEST, 12 
217,ABRA,PILAR,SOUTH BALIOAG, 5 
218,ABRA,PILAR,TIKITIK, 6 
219,ABRA,PILAR,VILLAVIEJA, 2 
220,ABRA,SALLAPADAN,BAZAR, 5 
221,ABRA,SALLAPADAN,BILABILA, 11 
222,ABRA,SALLAPADAN,GANGAL (POB.), 11 
223,ABRA,SALLAPADAN,MAGUYEPYEP, 11 
224,ABRA,SALLAPADAN,NAGUILIAN, 10 
225,ABRA,SALLAPADAN,SACCAANG, 5 
226,ABRA,SALLAPADAN,SALLAPADAN, 3 
227,ABRA,SALLAPADAN,SUBUSOB, 10 
228,ABRA,SALLAPADAN,UD-UDIAO, 1 
229,ABRA,SAN ISIDRO,CABAYOGAN, 2 
230,ABRA,SAN ISIDRO,DALIMAG, 11 
231,ABRA,SAN ISIDRO,LANGBABAN, 8 
232,ABRA,SAN ISIDRO,MANAYDAY, 2 
233,ABRA,SAN ISIDRO,PANTOC, 6 
234,ABRA,SAN ISIDRO,POBLACION, 17 
235,ABRA,SAN ISIDRO,SABTAN-OLO, 3 
236,ABRA,SAN ISIDRO,SAN MARCIAL, 8 
237,ABRA,SAN ISIDRO,TANGBAO, 9 
238,ABRA,SAN JUAN,ABUALAN, 9 
239,ABRA,SAN JUAN,BADAS, 5 
240,ABRA,SAN JUAN,BA-UG, 14 
241,ABRA,SAN JUAN,CABCABORAO, 5 
242,ABRA,SAN JUAN,COLABAOAN, 5 
243,ABRA,SAN JUAN,CULIONG, 3 
244,ABRA,SAN JUAN,DAOIDAO, 6 
245,ABRA,SAN JUAN,GUIMBA, 7 
246,ABRA,SAN JUAN,LAM-AG, 5 
247,ABRA,SAN JUAN,LUMOBANG, 1 
248,ABRA,SAN JUAN,NANGOBONGAN, 3 
249,ABRA,SAN JUAN,PATTAOIG, 1 
250,ABRA,SAN JUAN,POBLACION NORTH, 11 
251,ABRA,SAN JUAN,POBLACION SOUTH, 7 
252,ABRA,SAN JUAN,QUIDAOEN, 7 
253,ABRA,SAN JUAN,SABANGAN, 6 
254,ABRA,SAN JUAN,SILET, 2 
255,ABRA,SAN JUAN,SUPI-IL, 7 
256,ABRA,SAN JUAN,TAGAYTAY, 5 
257,ABRA,SAN QUINTIN,LABAAN, 18 
258,ABRA,SAN QUINTIN,PALANG, 5 
259,ABRA,SAN QUINTIN,PANTOC, 11 
260,ABRA,SAN QUINTIN,POBLACION, 10 
261,ABRA,SAN QUINTIN,TANGADAN, 32 
262,ABRA,SAN QUINTIN,VILLA MERCEDES, 11 
263,ABRA,TAYUM,BAGALAY, 13 
264,ABRA,TAYUM,BASBASA, 18 
265,ABRA,TAYUM,BUDAC, 19 
266,ABRA,TAYUM,BUMAGCAT, 11 
267,ABRA,TAYUM,CABAROAN, 29 
268,ABRA,TAYUM,DEET, 22 
269,ABRA,TAYUM,GADDANI, 27 
270,ABRA,TAYUM,PATUCANNAY, 35 
271,ABRA,TAYUM,PIAS, 23 
272,ABRA,TAYUM,POBLACION, 54 
273,ABRA,TAYUM,VELASCO, 24 
274,ABRA,TINEG,ALAOA, 7 
275,ABRA,TINEG,BELAAT, 3 
276,ABRA,TINEG,CAGANAYAN, 12 
277,ABRA,TINEG,COGON, 8 
278,ABRA,TINEG,LANEC, 1 
279,ABRA,TINEG,LAPAT-BALANTAY, 5 
280,ABRA,TINEG,NAGLIBACAN, 3 
281,ABRA,TINEG,POBLACION (AGSIMAO), 13 
282,ABRA,TUBO,ALANGTIN, 10 
283,ABRA,TUBO,AMTUAGAN, 26 
284,ABRA,TUBO,DILONG, 10 
285,ABRA,TUBO,KILI, 10 
286,ABRA,TUBO,POBLACION (MAYABO), 19 
287,ABRA,TUBO,SUPO, 9 
288,ABRA,TUBO,TABACDA, 2 
289,ABRA,TUBO,TIEMPO, 49 
290,ABRA,TUBO,TUBTUBA, 8 
291,ABRA,TUBO,WAYANGAN, 11 
292,ABRA,VILLAVICIOSA,AP-APAYA, 11 
293,ABRA,VILLAVICIOSA,BOL-LILISING, 6 
294,ABRA,VILLAVICIOSA,CAL-LAO, 12 
295,ABRA,VILLAVICIOSA,LAP-LAPOG, 15 
296,ABRA,VILLAVICIOSA,LUMABA, 7 
297,ABRA,VILLAVICIOSA,POBLACION, 8 
298,ABRA,VILLAVICIOSA,TAMAC, 7 
299,ABRA,VILLAVICIOSA,TUQUIB, 6 
300,AGUSAN DEL NORTE,BUENAVISTA,ABILAN, 55 
301,AGUSAN DEL NORTE,BUENAVISTA,AGONG-ONG, 34 
302,AGUSAN DEL NORTE,BUENAVISTA,ALUBIJID, 47 
303,AGUSAN DEL NORTE,BUENAVISTA,GUINABSAN, 52 
304,AGUSAN DEL NORTE,BUENAVISTA,LOWER OLAVE, 12 
305,AGUSAN DEL NORTE,BUENAVISTA,MACALANG, 33 
306,AGUSAN DEL NORTE,BUENAVISTA,MALAPONG, 20 
307,AGUSAN DEL NORTE,BUENAVISTA,MALPOC, 23 
308,AGUSAN DEL NORTE,BUENAVISTA,MANAPA, 97 
309,AGUSAN DEL NORTE,BUENAVISTA,MATABAO, 79 
310,AGUSAN DEL NORTE,BUENAVISTA,POBLACION 1, 49 
311,AGUSAN DEL NORTE,BUENAVISTA,POBLACION 10, 50 
312,AGUSAN DEL NORTE,BUENAVISTA,POBLACION 2, 33 
313,AGUSAN DEL NORTE,BUENAVISTA,POBLACION 3, 69 
314,AGUSAN DEL NORTE,BUENAVISTA,POBLACION 4, 42 
315,AGUSAN DEL NORTE,BUENAVISTA,POBLACION 5, 27 
316,AGUSAN DEL NORTE,BUENAVISTA,POBLACION 6, 42 
317,AGUSAN DEL NORTE,BUENAVISTA,POBLACION 7, 17 
318,AGUSAN DEL NORTE,BUENAVISTA,POBLACION 8, 27 
319,AGUSAN DEL NORTE,BUENAVISTA,POBLACION 9, 34 
320,AGUSAN DEL NORTE,BUENAVISTA,RIZAL, 47 
321,AGUSAN DEL NORTE,BUENAVISTA,SACOL, 47 
322,AGUSAN DEL NORTE,BUENAVISTA,SANGAY, 75 
323,AGUSAN DEL NORTE,BUENAVISTA,SIMBALAN, 21 
324,AGUSAN DEL NORTE,BUENAVISTA,TALO-AO, 48 
325,AGUSAN DEL NORTE,BUTUAN CITY,AGAO POB. (BGY. 3), 38 
326,AGUSAN DEL NORTE,BUTUAN CITY,AGUSAN PEQUEÑO, 189 
327,AGUSAN DEL NORTE,BUTUAN CITY,AMBAGO, 382 
328,AGUSAN DEL NORTE,BUTUAN CITY,AMPARO, 60 
329,AGUSAN DEL NORTE,BUTUAN CITY,AMPAYON, 321 
330,AGUSAN DEL NORTE,BUTUAN CITY,ANTICALA, 90 
331,AGUSAN DEL NORTE,BUTUAN CITY,ANTONGALON, 76 
332,AGUSAN DEL NORTE,BUTUAN CITY,AUPAGAN, 30 
333,AGUSAN DEL NORTE,BUTUAN CITY,BAAN KM 3, 406 
334,AGUSAN DEL NORTE,BUTUAN CITY,BAAN RIVERSIDE POB. (BGY. 20), 153 
335,AGUSAN DEL NORTE,BUTUAN CITY,BABAG, 61 
336,AGUSAN DEL NORTE,BUTUAN CITY,BADING POB. (BGY. 22), 170 
337,AGUSAN DEL NORTE,BUTUAN CITY,BANCASI, 163 
338,AGUSAN DEL NORTE,BUTUAN CITY,BANZA, 192 
339,AGUSAN DEL NORTE,BUTUAN CITY,BAOBAOAN, 35 
340,AGUSAN DEL NORTE,BUTUAN CITY,BASAG, 79 
341,AGUSAN DEL NORTE,BUTUAN CITY,BAYANIHAN POB. (BGY. 27), 137 
342,AGUSAN DEL NORTE,BUTUAN CITY,BILAY, 20 
343,AGUSAN DEL NORTE,BUTUAN CITY,BITAN-AGAN, 16 
344,AGUSAN DEL NORTE,BUTUAN CITY,BIT-OS, 47 
345,AGUSAN DEL NORTE,BUTUAN CITY,BOBON, 61 
346,AGUSAN DEL NORTE,BUTUAN CITY,BONBON, 125 
347,AGUSAN DEL NORTE,BUTUAN CITY,BUGABUS, 9 
348,AGUSAN DEL NORTE,BUTUAN CITY,BUGSUKAN, 21 
349,AGUSAN DEL NORTE,BUTUAN CITY,BUHANGIN POB. (BGY. 19), 152 
350,AGUSAN DEL NORTE,BUTUAN CITY,CABCABON, 59 
351,AGUSAN DEL NORTE,BUTUAN CITY,CAMAYAHAN, 27 
352,AGUSAN DEL NORTE,BUTUAN CITY,DAGOHOY POB. (BGY. 7), 49 
353,AGUSAN DEL NORTE,BUTUAN CITY,DANKIAS, 13 
354,AGUSAN DEL NORTE,BUTUAN CITY,DE ORO, 40 
355,AGUSAN DEL NORTE,BUTUAN CITY,DIEGO SILANG POB. (BGY. 6), 45 
356,AGUSAN DEL NORTE,BUTUAN CITY,DON FRANCISCO, 19 
357,AGUSAN DEL NORTE,BUTUAN CITY,DOONGAN, 426 
358,AGUSAN DEL NORTE,BUTUAN CITY,DULAG, 23 
359,AGUSAN DEL NORTE,BUTUAN CITY,DUMALAGAN, 51 
360,AGUSAN DEL NORTE,BUTUAN CITY,FLORIDA, 34 
361,AGUSAN DEL NORTE,BUTUAN CITY,GOLDEN RIBBON POB. (BGY. 2), 139 
362,AGUSAN DEL NORTE,BUTUAN CITY,HOLY REDEEMER POB. (BGY. 23), 173 
363,AGUSAN DEL NORTE,BUTUAN CITY,HUMABON POB. (BGY. 11), 12 
364,AGUSAN DEL NORTE,BUTUAN CITY,IMADEJAS POB. (BGY. 24), 43 
365,AGUSAN DEL NORTE,BUTUAN CITY,JOSE RIZAL POB. (BGY. 25), 176 
366,AGUSAN DEL NORTE,BUTUAN CITY,KINAMLUTAN, 61 
367,AGUSAN DEL NORTE,BUTUAN CITY,LAPU-LAPU POB. (BGY. 8), 33 
368,AGUSAN DEL NORTE,BUTUAN CITY,LEMON, 44 
369,AGUSAN DEL NORTE,BUTUAN CITY,LEON KILAT POB. (BGY. 13), 11 
370,AGUSAN DEL NORTE,BUTUAN CITY,LIBERTAD, 779 
371,AGUSAN DEL NORTE,BUTUAN CITY,LIMAHA POB. (BGY. 14), 193 
372,AGUSAN DEL NORTE,BUTUAN CITY,LOS ANGELES, 123 
373,AGUSAN DEL NORTE,BUTUAN CITY,LUMBOCAN, 160 
374,AGUSAN DEL NORTE,BUTUAN CITY,MAGUINDA, 50 
375,AGUSAN DEL NORTE,BUTUAN CITY,MAHAY, 104 
376,AGUSAN DEL NORTE,BUTUAN CITY,MAHOGANY POB. (BGY. 21), 265 
377,AGUSAN DEL NORTE,BUTUAN CITY,MAIBU, 14 
378,AGUSAN DEL NORTE,BUTUAN CITY,MANDAMO, 14 
379,AGUSAN DEL NORTE,BUTUAN CITY,MANILA DE BUGABUS, 52 
380,AGUSAN DEL NORTE,BUTUAN CITY,MAON POB. (BGY. 1), 169 
381,AGUSAN DEL NORTE,BUTUAN CITY,MASAO, 50 
382,AGUSAN DEL NORTE,BUTUAN CITY,MAUG, 97 
383,AGUSAN DEL NORTE,BUTUAN CITY,NEW SOCIETY VILLAGE POB. (BGY. 26), 35 
384,AGUSAN DEL NORTE,BUTUAN CITY,NONG-NONG, 20 
385,AGUSAN DEL NORTE,BUTUAN CITY,OBRERO POB. (BGY. 18), 232 
386,AGUSAN DEL NORTE,BUTUAN CITY,ONG YIU POB. (BGY. 16), 105 
387,AGUSAN DEL NORTE,BUTUAN CITY,PAGATPATAN, 131 
388,AGUSAN DEL NORTE,BUTUAN CITY,PANGABUGAN, 87 
389,AGUSAN DEL NORTE,BUTUAN CITY,PIANING, 42 
390,AGUSAN DEL NORTE,BUTUAN CITY,PIGDAULAN, 56 
391,AGUSAN DEL NORTE,BUTUAN CITY,PINAMANCULAN, 64 
392,AGUSAN DEL NORTE,BUTUAN CITY,PORT POYOHON POB. (BGY. 17 - NEW ASIA), 137 
393,AGUSAN DEL NORTE,BUTUAN CITY,RAJAH SOLIMAN POB. (BGY. 4), 19 
394,AGUSAN DEL NORTE,BUTUAN CITY,SALVACION, 21 
395,AGUSAN DEL NORTE,BUTUAN CITY,SAN IGNACIO POB. (BGY. 15), 84 
396,AGUSAN DEL NORTE,BUTUAN CITY,SAN MATEO, 31 
397,AGUSAN DEL NORTE,BUTUAN CITY,SAN VICENTE, 478 
398,AGUSAN DEL NORTE,BUTUAN CITY,SANTO NIÑO, 40 
399,AGUSAN DEL NORTE,BUTUAN CITY,SIKATUNA POB. (BGY. 10), 18 
400,AGUSAN DEL NORTE,BUTUAN CITY,SILONGAN POB. (BGY. 5), 28 
401,AGUSAN DEL NORTE,BUTUAN CITY,SUMILE, 27 
402,AGUSAN DEL NORTE,BUTUAN CITY,SUMILIHON, 108 
403,AGUSAN DEL NORTE,BUTUAN CITY,TAGABACA, 54 
404,AGUSAN DEL NORTE,BUTUAN CITY,TAGUIBO, 121 
405,AGUSAN DEL NORTE,BUTUAN CITY,TALIGAMAN, 94 
406,AGUSAN DEL NORTE,BUTUAN CITY,TANDANG SORA POB. (BGY. 12), 152 
407,AGUSAN DEL NORTE,BUTUAN CITY,TINIWISAN, 88 
408,AGUSAN DEL NORTE,BUTUAN CITY,TUNGAO, 120 
409,AGUSAN DEL NORTE,BUTUAN CITY,URDUJA POB. (BGY. 9), 6 
410,AGUSAN DEL NORTE,BUTUAN CITY,VILLA KANANGA, 373 
411,AGUSAN DEL NORTE,CABADBARAN CITY,ANTONIO LUNA, 25 
412,AGUSAN DEL NORTE,CABADBARAN CITY,BAYABAS, 9 
413,AGUSAN DEL NORTE,CABADBARAN CITY,BAY-ANG, 44 
414,AGUSAN DEL NORTE,CABADBARAN CITY,CAASINAN, 33 
415,AGUSAN DEL NORTE,CABADBARAN CITY,CABINET, 31 
416,AGUSAN DEL NORTE,CABADBARAN CITY,CALAMBA, 43 
417,AGUSAN DEL NORTE,CABADBARAN CITY,CALIBUNAN, 60 
418,AGUSAN DEL NORTE,CABADBARAN CITY,COMAGASCAS, 57 
419,AGUSAN DEL NORTE,CABADBARAN CITY,CONCEPCION, 16 
420,AGUSAN DEL NORTE,CABADBARAN CITY,DEL PILAR, 37 
421,AGUSAN DEL NORTE,CABADBARAN CITY,KATUGASAN, 24 
422,AGUSAN DEL NORTE,CABADBARAN CITY,KAUSWAGAN, 50 
423,AGUSAN DEL NORTE,CABADBARAN CITY,LA UNION, 128 
424,AGUSAN DEL NORTE,CABADBARAN CITY,MABINI, 127 
425,AGUSAN DEL NORTE,CABADBARAN CITY,MAHABA, 8 
426,AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1, 27 
427,AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 10, 6 
428,AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 11, 9 
429,AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 12, 39 
430,AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 2, 19 
431,AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 3, 38 
432,AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 4, 34 
433,AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 5, 21 
434,AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 6, 37 
435,AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 7, 46 
436,AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 8, 8 
437,AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 9, 64 
438,AGUSAN DEL NORTE,CABADBARAN CITY,PUTING BATO, 18 
439,AGUSAN DEL NORTE,CABADBARAN CITY,SANGHAN, 52 
440,AGUSAN DEL NORTE,CABADBARAN CITY,SORIANO, 56 
441,AGUSAN DEL NORTE,CABADBARAN CITY,TOLOSA, 110 
442,AGUSAN DEL NORTE,CARMEN,CAHAYAGAN, 27 
443,AGUSAN DEL NORTE,CARMEN,GOSOON, 27 
444,AGUSAN DEL NORTE,CARMEN,MANOLIGAO, 13 
445,AGUSAN DEL NORTE,CARMEN,POBLACION (CARMEN), 102 
446,AGUSAN DEL NORTE,CARMEN,ROJALES, 54 
