code,location,interlevel,original
012805012,CALLAGUIP (POB.),Bgy,True
012805013,CAMANDINGAN,Bgy,True
012805014,CAMGUIDAN,Bgy,True
012805015,CANGRUNAAN (POB.),Bgy,True
012805015,CANGRUNAAN,Bgy,False
012805016,CAPACUAN,Bgy,True
012805017,CAUNAYAN,Bgy,False
012805017,CAUNAYAN (POB.),Bgy,True
012805018,VALDEZ,Bgy,False
012805018,VALDEZ POB. (CAOAYAN),Bgy,True
012805018,CAOAYAN,Bgy,False
012805019,COLO,Bgy,True
012805020,PIMENTEL,Bgy,False
012805020,PIMENTEL (CUBOL),Bgy,True
012805020,CUBOL,Bgy,False
012805021,DARIWDIW,Bgy,True
012805022,ACOSTA,Bgy,False
012805022,ILOILO,Bgy,False
012805022,ACOSTA POB. (ILOILO),Bgy,True
012805023,ABLAN POB. (LABUCAO),Bgy,True
012805023,ABLAN,Bgy,False
012805023,LABUCAO,Bgy,False
012805024,LACUB (POB.),Bgy,True
012805024,LACUB,Bgy,False
012805025,MABALENG,Bgy,True
012805026,MAGNUANG,Bgy,True
012805027,MAIPALIG,Bgy,True
012805028,NAGBACALAN,Bgy,True
012805029,NAGUIRANGAN,Bgy,True
012805030,RICARTE POB. (NALASIN),Bgy,True
012805030,NALASIN,Bgy,False
012805030,RICARTE,Bgy,False
012805031,PALONGPONG,Bgy,True
012805032,PALPALICONG,Bgy,False
012805032,PALPALICONG (POB.),Bgy,True
012805033,PARANGOPONG,Bgy,True
012805034,PAYAO,Bgy,True
012805035,QUILING NORTE,Bgy,True
012805036,QUILING SUR,Bgy,True
012805037,QUIOM,Bgy,True
012805038,RAYURAY,Bgy,True
012805039,SAN JULIAN (POB.),Bgy,True
012805039,SAN JULIAN,Bgy,False
012805040,SAN MATEO,Bgy,True
012805041,SAN PEDRO,Bgy,True
012805042,SUABIT,Bgy,False
012805042,SUABIT (POB.),Bgy,True
012805043,SUMADER,Bgy,True
012805044,TABUG,Bgy,True
012806000,BURGOS,Mun,True
012806001,ABLAN SARAT,Bgy,True
012806002,AGAGA,Bgy,True
012806005,BAYOG,Bgy,True
012806006,BOBON,Bgy,True
012806007,BUDUAN (MALITUEK),Bgy,True
012806007,BUDUAN,Bgy,False
012806007,MALITUEK,Bgy,False
012806008,NAGSUROT,Bgy,True
012806009,PAAYAS,Bgy,True
012806010,PAGALI,Bgy,True
012806011,POBLACION,Bgy,True
012806013,SAOIT,Bgy,True
012806014,TANAP,Bgy,True
012807000,CARASI,Mun,True
