source_brgy,expected_brgy,source_municity,expected_municity,source_prov,expected_prov,expected_psgc,expected_match_type
Apar,APAR,LOBO,LOBO,Batangas,BATANGAS,041015001,Exact
Balatbat,BALATBAT,LOBO,LOBO,Batangas,BATANGAS,041015002,Exact
Balibago-Lobo,BALIBAGO,LOBO,LOBO,Batangas,BATANGAS,041015003,Ambiguous
Banalo,BANALO,LOBO,LOBO,Batangas,BATANGAS,041015004,Exact
Biga-Lobo,BIGA,LOBO,LOBO,Batangas,BATANGAS,041015005,Ambiguous
Bignay,BIGNAY,LOBO,LOBO,Batangas,BATANGAS,041015006,Exact
Calo,CALO,LOBO,LOBO,Batangas,BATANGAS,041015007,Exact
Calumpit,CALUMPIT,LOBO,LOBO,Batangas,BATANGAS,041015008,Exact
Fabrica,FABRICA,LOBO,LOBO,Batangas,BATANGAS,041015009,Exact
Jaybanga,JAYBANGA,LOBO,LOBO,Batangas,BATANGAS,041015010,Exact
Lagadlarin,LAGADLARIN,LOBO,LOBO,Batangas,BATANGAS,041015011,Exact
Mabilog Na Bundok,MABILOG NA BUNDOK,LOBO,LOBO,Batangas,BATANGAS,041015012,Exact
Malabrigo,MALABRIGO,LOBO,LOBO,Batangas,BATANGAS,041015013,Exact
Malalim Na Sanog,MALALIM NA SANOG,LOBO,LOBO,Batangas,BATANGAS,041015014,Exact
Malapad Na Parang,MALAPAD NA PARANG,LOBO,LOBO,Batangas,BATANGAS,041015015,Exact
Masaguitsit,MASAGUITSIT,LOBO,LOBO,Batangas,BATANGAS,041015016,Exact
Nagtalongtong,NAGTALONGTONG,LOBO,LOBO,Batangas,BATANGAS,041015017,Exact
Nagtoctoc,NAGTOCTOC,LOBO,LOBO,Batangas,BATANGAS,041015018,Exact
Olo-olo,OLO-OLO,LOBO,LOBO,Batangas,BATANGAS,041015019,Exact
Pinaghawanan,PINAGHAWANAN,LOBO,LOBO,Batangas,BATANGAS,041015020,Exact
Poblacion-Lobo,POBLACION,LOBO,LOBO,Batangas,BATANGAS,041015026,Ambiguous
San Miguel-Lobo,SAN MIGUEL,LOBO,LOBO,Batangas,BATANGAS,041015021,Ambiguous
San Nicolas,SAN NICOLAS,LOBO,LOBO,Batangas,BATANGAS,041015022,Exact
Sawang,SAWANG,LOBO,LOBO,Batangas,BATANGAS,041015023,Exact
Soloc,SOLOC,LOBO,LOBO,Batangas,BATANGAS,041015024,Exact
Tayuman,TAYUMAN,LOBO,LOBO,Batangas,BATANGAS,041015025,Exact
,,MABINI,MABINI,Batangas,BATANGAS,041016000,Exact
Anilao East,ANILAO EAST,MABINI,MABINI,Batangas,BATANGAS,041016002,Exact
Anilao Proper,ANILAO PROPER,MABINI,MABINI,Batangas,BATANGAS,041016001,Exact
Bagalangit,BAGALANGIT,MABINI,MABINI,Batangas,BATANGAS,041016003,Exact
Bulacan,BULACAN,MABINI,MABINI,Batangas,BATANGAS,041016004,Exact
Calamias-Mabini,CALAMIAS,MABINI,MABINI,Batangas,BATANGAS,041016005,Ambiguous
Estrella,ESTRELLA,MABINI,MABINI,Batangas,BATANGAS,041016006,Exact
Gasang,GASANG,MABINI,MABINI,Batangas,BATANGAS,041016007,Exact
Laurel-Mabini,LAUREL,MABINI,MABINI,Batangas,BATANGAS,041016008,Ambiguous
Ligaya,LIGAYA,MABINI,MABINI,Batangas,BATANGAS,041016009,Exact
Mainaga,MAINAGA,MABINI,MABINI,Batangas,BATANGAS,041016010,Exact
Mainit,MAINIT,MABINI,MABINI,Batangas,BATANGAS,041016011,Exact
Majuben,MAJUBEN,MABINI,MABINI,Batangas,BATANGAS,041016012,Exact
Malimatoc I,MALIMATOC I,MABINI,MABINI,Batangas,BATANGAS,041016014,Exact
Malimatoc II,MALIMATOC II,MABINI,MABINI,Batangas,BATANGAS,041016015,Exact
Nag-Iba,NAG-IBA,MABINI,MABINI,Batangas,BATANGAS,041016016,Exact
Pilahan,PILAHAN,MABINI,MABINI,Batangas,BATANGAS,041016017,Exact
Poblacion-Mabini,POBLACION,MABINI,MABINI,Batangas,BATANGAS,041016018,Ambiguous
Pulang Lupa,PULANG LUPA,MABINI,MABINI,Batangas,BATANGAS,041016019,Exact
Pulong Anahao,PULONG ANAHAO,MABINI,MABINI,Batangas,BATANGAS,041016020,Exact
Pulong Balibaguhan,PULONG BALIBAGUHAN,MABINI,MABINI,Batangas,BATANGAS,041016021,Exact
Pulong Niogan,PULONG NIOGAN,MABINI,MABINI,Batangas,BATANGAS,041016022,Exact
Saguing,SAGUING,MABINI,MABINI,Batangas,BATANGAS,041016023,Exact
Sampaguita-Mabini,SAMPAGUITA,MABINI,MABINI,Batangas,BATANGAS,041016024,Ambiguous
San Francisco-Mabini,SAN FRANCISCO,MABINI,MABINI,Batangas,BATANGAS,041016025,Ambiguous
San Jose-Mabini,SAN JOSE,MABINI,MABINI,Batangas,BATANGAS,041016026,Ambiguous
San Juan-Mabini,SAN JUAN,MABINI,MABINI,Batangas,BATANGAS,041016027,Ambiguous
San Teodoro-Mabini,SAN TEODORO,MABINI,MABINI,Batangas,BATANGAS,041016028,Ambiguous
Santa Ana-Mabini,SANTA ANA,MABINI,MABINI,Batangas,BATANGAS,041016029,Ambiguous
Santa Mesa,SANTA MESA,MABINI,MABINI,Batangas,BATANGAS,041016030,Exact
Santo Nino-Mabini,SANTO NINO,MABINI,MABINI,Batangas,BATANGAS,041016031,Ambiguous
Santo Tomas-Mabini,SANTO TOMAS,MABINI,MABINI,Batangas,BATANGAS,041016032,Ambiguous
Solo,SOLO,MABINI,MABINI,Batangas,BATANGAS,041016033,Exact
Talaga East,TALAGA EAST,MABINI,MABINI,Batangas,BATANGAS,041016035,Exact
Talaga Proper,TALAGA PROPER,MABINI,MABINI,Batangas,BATANGAS,041016034,Exact
,,MALVAR,MALVAR,Batangas,BATANGAS,041017000,Exact
Bagong Pook-Malvar,BAGONG POOK,MALVAR,MALVAR,Batangas,BATANGAS,041017001,Ambiguous
Bilucao (San Isidro Western),BILUCAO (SAN ISIDRO WESTERN),MALVAR,MALVAR,Batangas,BATANGAS,041017002,Exact
Bulihan-Malvar,BULIHAN,MALVAR,MALVAR,Batangas,BATANGAS,041017003,Ambiguous
Luta Del Norte,LUTA DEL NORTE,MALVAR,MALVAR,Batangas,BATANGAS,041017005,Exact
Luta Del Sur,LUTA DEL SUR,MALVAR,MALVAR,Batangas,BATANGAS,041017006,Exact
Poblacion-Malvar,POBLACION,MALVAR,MALVAR,Batangas,BATANGAS,041017008,Ambiguous
San Andres,SAN ANDRES,MALVAR,MALVAR,Batangas,BATANGAS,041017012,Exact
San Fernando-Malvar,SAN FERNANDO,MALVAR,MALVAR,Batangas,BATANGAS,041017013,Ambiguous
San Gregorio-Malvar,SAN GREGORIO,MALVAR,MALVAR,Batangas,BATANGAS,041017004,Ambiguous
San Isidro East,SAN ISIDRO EAST,MALVAR,MALVAR,Batangas,BATANGAS,041017015,Exact
San Juan-Malvar,SAN JUAN,MALVAR,MALVAR,Batangas,BATANGAS,041017016,Ambiguous
San Pedro I (Eastern),SAN PEDRO I,MALVAR,MALVAR,Batangas,BATANGAS,041017018,Ambiguous
San Pedro II (Western),SAN PEDRO II,MALVAR,MALVAR,Batangas,BATANGAS,041017017,Ambiguous
San Pioquinto,SAN PIOQUINTO,MALVAR,MALVAR,Batangas,BATANGAS,041017019,Exact
Santiago,SANTIAGO,MALVAR,MALVAR,Batangas,BATANGAS,041017020,Exact
,,MATAAS NA KAHOY,MATAASNAKAHOY,Batangas,BATANGAS,041018000,Ambiguous
Barangay II-A (Pob.),BARANGAY II-A,MATAAS NA KAHOY,MATAASNAKAHOY,Batangas,BATANGAS,041018018,Ambiguous
Bayorbor,BAYORBOR,MATAAS NA KAHOY,MATAASNAKAHOY,Batangas,BATANGAS,041018006,Ambiguous
Bubuyan,BUBUYAN,MATAAS NA KAHOY,MATAASNAKAHOY,Batangas,BATANGAS,041018008,Ambiguous
Calingatan,CALINGATAN,MATAAS NA KAHOY,MATAASNAKAHOY,Batangas,BATANGAS,041018009,Ambiguous
District I (Pob.)-Mnk,DISTRICT I,MATAAS NA KAHOY,MATAASNAKAHOY,Batangas,BATANGAS,041018001,Ambiguous
District II (Pob.)-Mnk,DISTRICT II,MATAAS NA KAHOY,MATAASNAKAHOY,Batangas,BATANGAS,041018002,Ambiguous
District III (Pob.)-Mnk,DISTRICT III,MATAAS NA KAHOY,MATAASNAKAHOY,Batangas,BATANGAS,041018003,Ambiguous
District IV (Pob.)-Mnk,DISTRICT IV,MATAAS NA KAHOY,MATAASNAKAHOY,Batangas,BATANGAS,041018004,Ambiguous
Kinalaglagan,KINALAGLAGAN,MATAAS NA KAHOY,MATAASNAKAHOY,Batangas,BATANGAS,041018010,Ambiguous
Loob,LOOB,MATAAS NA KAHOY,MATAASNAKAHOY,Batangas,BATANGAS,041018011,Ambiguous
Lumang Lipa,LUMANG LIPA,MATAAS NA KAHOY,MATAASNAKAHOY,Batangas,BATANGAS,041018012,Ambiguous
Manggahan-Mnk,MANGGAHAN,MATAAS NA KAHOY,MATAASNAKAHOY,Batangas,BATANGAS,041018013,Ambiguous
Nangkaan,NANGKAAN,MATAAS NA KAHOY,MATAASNAKAHOY,Batangas,BATANGAS,041018014,Ambiguous
San Sebastian-Mnk,SAN SEBASTIAN,MATAAS NA KAHOY,MATAASNAKAHOY,Batangas,BATANGAS,041018015,Ambiguous
Santol-Mnk,SANTOL,MATAAS NA KAHOY,MATAASNAKAHOY,Batangas,BATANGAS,041018016,Ambiguous
Upa,UPA,MATAAS NA KAHOY,MATAASNAKAHOY,Batangas,BATANGAS,041018017,Ambiguous
,,NASUGBU,NASUGBU,Batangas,BATANGAS,041019000,Exact
Aga,AGA,NASUGBU,NASUGBU,Batangas,BATANGAS,041019001,Exact
Balaytigui,BALAYTIGUI,NASUGBU,NASUGBU,Batangas,BATANGAS,041019002,Exact
Banilad,BANILAD,NASUGBU,NASUGBU,Batangas,BATANGAS,041019003,Exact
Barangay 1 (Pob.)-Nasugbu,BARANGAY 1,NASUGBU,NASUGBU,Batangas,BATANGAS,041019049,Ambiguous
Barangay 10 (Pob.)-Nasugbu,BARANGAY 10,NASUGBU,NASUGBU,Batangas,BATANGAS,041019004,Ambiguous
Barangay 11 (Pob.)-Nasugbu,BARANGAY 11,NASUGBU,NASUGBU,Batangas,BATANGAS,041019005,Ambiguous
Barangay 12 (Pob.)-Nasugbu,BARANGAY 12,NASUGBU,NASUGBU,Batangas,BATANGAS,041019006,Ambiguous
Barangay 2 (Pob.)-Nasugbu,BARANGAY 2,NASUGBU,NASUGBU,Batangas,BATANGAS,041019007,Ambiguous
Barangay 3 (Pob.)-Nasugbu,BARANGAY 3,NASUGBU,NASUGBU,Batangas,BATANGAS,041019008,Ambiguous
Barangay 4 (Pob.)-Nasugbu,BARANGAY 4,NASUGBU,NASUGBU,Batangas,BATANGAS,041019009,Ambiguous
Barangay 5 (Pob.)-Nasugbu,BARANGAY 5,NASUGBU,NASUGBU,Batangas,BATANGAS,041019010,Ambiguous
Barangay 6 (Pob.)-Nasugbu,BARANGAY 6,NASUGBU,NASUGBU,Batangas,BATANGAS,041019011,Ambiguous
Barangay 7 (Pob.)-Nasugbu,BARANGAY 7,NASUGBU,NASUGBU,Batangas,BATANGAS,041019012,Ambiguous
Barangay 8 (Pob.)-Nasugbu,BARANGAY 8,NASUGBU,NASUGBU,Batangas,BATANGAS,041019013,Ambiguous
Barangay 9 (Pob.)-Nasugbu,BARANGAY 9,NASUGBU,NASUGBU,Batangas,BATANGAS,041019014,Ambiguous
Bilaran,BILARAN,NASUGBU,NASUGBU,Batangas,BATANGAS,041019015,Exact
Bucana,BUCANA,NASUGBU,NASUGBU,Batangas,BATANGAS,041019016,Exact
Bulihan-Nasugbu,BULIHAN,NASUGBU,NASUGBU,Batangas,BATANGAS,041019017,Ambiguous
Bunducan,BUNDUCAN,NASUGBU,NASUGBU,Batangas,BATANGAS,041019018,Exact
Butucan,BUTUCAN,NASUGBU,NASUGBU,Batangas,BATANGAS,041019019,Exact
Calayo,CALAYO,NASUGBU,NASUGBU,Batangas,BATANGAS,041019020,Exact
Catandaan,CATANDAAN,NASUGBU,NASUGBU,Batangas,BATANGAS,041019021,Exact
Cogunan,COGUNAN,NASUGBU,NASUGBU,Batangas,BATANGAS,041019024,Exact
Dayap,DAYAP,NASUGBU,NASUGBU,Batangas,BATANGAS,041019026,Exact
Kaylaway,KAYLAWAY,NASUGBU,NASUGBU,Batangas,BATANGAS,041019022,Exact
Kayrilaw,KAYRILAW,NASUGBU,NASUGBU,Batangas,BATANGAS,041019023,Exact
Latag-Nasugbu,LATAG,NASUGBU,NASUGBU,Batangas,BATANGAS,041019027,Ambiguous
Looc-Nasugbu,LOOC,NASUGBU,NASUGBU,Batangas,BATANGAS,041019028,Ambiguous
Lumbangan-Nasugbu,LUMBANGAN,NASUGBU,NASUGBU,Batangas,BATANGAS,041019029,Ambiguous
Malapad Na Bato,MALAPAD NA BATO,NASUGBU,NASUGBU,Batangas,BATANGAS,041019032,Exact
Mataas Na Pulo,MATAAS NA PULO,NASUGBU,NASUGBU,Batangas,BATANGAS,041019033,Exact
Maugat-Nasugbu,MAUGAT,NASUGBU,NASUGBU,Batangas,BATANGAS,041019035,Ambiguous
Munting Indan,MUNTING INDAN,NASUGBU,NASUGBU,Batangas,BATANGAS,041019036,Exact
Natipuan,NATIPUAN,NASUGBU,NASUGBU,Batangas,BATANGAS,041019037,Exact
Pantalan,PANTALAN,NASUGBU,NASUGBU,Batangas,BATANGAS,041019039,Exact
Papaya-Nasugbu,PAPAYA,NASUGBU,NASUGBU,Batangas,BATANGAS,041019041,Ambiguous
Putat,PUTAT,NASUGBU,NASUGBU,Batangas,BATANGAS,041019042,Exact
Reparo,REPARO,NASUGBU,NASUGBU,Batangas,BATANGAS,041019044,Exact
Talangan,TALANGAN,NASUGBU,NASUGBU,Batangas,BATANGAS,041019045,Exact
Tumalim,TUMALIM,NASUGBU,NASUGBU,Batangas,BATANGAS,041019046,Exact
Utod,UTOD,NASUGBU,NASUGBU,Batangas,BATANGAS,041019047,Exact
Wawa-Nasugbu,WAWA,NASUGBU,NASUGBU,Batangas,BATANGAS,041019048,Ambiguous
,,PADRE GARCIA,PADRE GARCIA,Batangas,BATANGAS,041020000,Exact
Banaba-Pgarcia,BANABA,PADRE GARCIA,PADRE GARCIA,Batangas,BATANGAS,041020001,Ambiguous
Banaybanay-Pgarcia,BANAYBANAY,PADRE GARCIA,PADRE GARCIA,Batangas,BATANGAS,041020002,Ambiguous
Bawi,BAWI,PADRE GARCIA,PADRE GARCIA,Batangas,BATANGAS,041020014,Exact
Bukal-Pgarcia,BUKAL,PADRE GARCIA,PADRE GARCIA,Batangas,BATANGAS,041020015,Ambiguous
Castillo,CASTILLO,PADRE GARCIA,PADRE GARCIA,Batangas,BATANGAS,041020016,Exact
Cawongan,CAWONGAN,PADRE GARCIA,PADRE GARCIA,Batangas,BATANGAS,041020017,Exact
Manggas,MANGGAS,PADRE GARCIA,PADRE GARCIA,Batangas,BATANGAS,041020018,Exact
Maugat East,MAUGAT EAST,PADRE GARCIA,PADRE GARCIA,Batangas,BATANGAS,041020019,Exact
Maugat West,MAUGAT WEST,PADRE GARCIA,PADRE GARCIA,Batangas,BATANGAS,041020020,Exact
Pansol-Pgarcia,PANSOL,PADRE GARCIA,PADRE GARCIA,Batangas,BATANGAS,041020021,Ambiguous
Payapa,PAYAPA,PADRE GARCIA,PADRE GARCIA,Batangas,BATANGAS,041020022,Exact
Poblacion-Pgarcia,POBLACION,PADRE GARCIA,PADRE GARCIA,Batangas,BATANGAS,041020023,Ambiguous
Quilo-quilo North,QUILO-QUILO NORTH,PADRE GARCIA,PADRE GARCIA,Batangas,BATANGAS,041020024,Exact
Quilo-quilo South,QUILO-QUILO SOUTH,PADRE GARCIA,PADRE GARCIA,Batangas,BATANGAS,041020025,Exact
San Felipe-Pgarcia,SAN FELIPE,PADRE GARCIA,PADRE GARCIA,Batangas,BATANGAS,041020026,Ambiguous
San Miguel-Pgarcia,SAN MIGUEL,PADRE GARCIA,PADRE GARCIA,Batangas,BATANGAS,041020027,Ambiguous
Tamak,TAMAK,PADRE GARCIA,PADRE GARCIA,Batangas,BATANGAS,041020028,Exact
Tangob-Pgarcia,TANGOB,PADRE GARCIA,PADRE GARCIA,Batangas,BATANGAS,041020029,Ambiguous
,,ROSARIO,ROSARIO,Batangas,BATANGAS,041021000,Exact
Alupay,ALUPAY,ROSARIO,ROSARIO,Batangas,BATANGAS,041021001,Exact
Antipolo-Rosario,ANTIPOLO,ROSARIO,ROSARIO,Batangas,BATANGAS,041021002,Ambiguous
Bagong Pook-Rosario,BAGONG POOK,ROSARIO,ROSARIO,Batangas,BATANGAS,041021003,Ambiguous
Balibago-Rosario,BALIBAGO,ROSARIO,ROSARIO,Batangas,BATANGAS,041021004,Ambiguous
Barangay A (Pob.),BARANGAY A,ROSARIO,ROSARIO,Batangas,BATANGAS,041021031,Ambiguous
Barangay B (Pob.),BARANGAY B,ROSARIO,ROSARIO,Batangas,BATANGAS,041021032,Ambiguous
Barangay C (Pob.),BARANGAY C,ROSARIO,ROSARIO,Batangas,BATANGAS,041021033,Ambiguous
Barangay D (Pob.),BARANGAY D,ROSARIO,ROSARIO,Batangas,BATANGAS,041021034,Ambiguous
Barangay E (Pob.),BARANGAY E,ROSARIO,ROSARIO,Batangas,BATANGAS,041021035,Ambiguous
Bayawang,BAYAWANG,ROSARIO,ROSARIO,Batangas,BATANGAS,041021005,Exact
Baybayin,BAYBAYIN,ROSARIO,ROSARIO,Batangas,BATANGAS,041021006,Exact
Bulihan-Rosario,BULIHAN,ROSARIO,ROSARIO,Batangas,BATANGAS,041021007,Ambiguous
Cahigam,CAHIGAM,ROSARIO,ROSARIO,Batangas,BATANGAS,041021008,Exact
Calantas-Rosario,CALANTAS,ROSARIO,ROSARIO,Batangas,BATANGAS,041021009,Ambiguous
Colongan,COLONGAN,ROSARIO,ROSARIO,Batangas,BATANGAS,041021010,Exact
Itlugan,ITLUGAN,ROSARIO,ROSARIO,Batangas,BATANGAS,041021011,Exact
Leviste (Tubahan),LEVISTE,ROSARIO,ROSARIO,Batangas,BATANGAS,041021047,Ambiguous
Lumbangan-Rosario,LUMBANGAN,ROSARIO,ROSARIO,Batangas,BATANGAS,041021012,Ambiguous
Maalas-As,MAALAS-AS,ROSARIO,ROSARIO,Batangas,BATANGAS,041021013,Exact
Mabato,MABATO,ROSARIO,ROSARIO,Batangas,BATANGAS,041021014,Exact
Mabunga,MABUNGA,ROSARIO,ROSARIO,Batangas,BATANGAS,041021015,Exact
Macalamcam A,MACALAMCAM A,ROSARIO,ROSARIO,Batangas,BATANGAS,041021016,Exact
Macalamcam B,MACALAMCAM B,ROSARIO,ROSARIO,Batangas,BATANGAS,041021017,Exact
Malaya,MALAYA,ROSARIO,ROSARIO,Batangas,BATANGAS,041021018,Exact
Maligaya-Rosario,MALIGAYA,ROSARIO,ROSARIO,Batangas,BATANGAS,041021019,Ambiguous
Marilag,MARILAG,ROSARIO,ROSARIO,Batangas,BATANGAS,041021020,Exact
Masaya,MASAYA,ROSARIO,ROSARIO,Batangas,BATANGAS,041021021,Exact
Matamis,MATAMIS,ROSARIO,ROSARIO,Batangas,BATANGAS,041021022,Exact
Mavalor,MAVALOR,ROSARIO,ROSARIO,Batangas,BATANGAS,041021023,Exact
Mayuro,MAYURO,ROSARIO,ROSARIO,Batangas,BATANGAS,041021024,Exact
Namuco,NAMUCO,ROSARIO,ROSARIO,Batangas,BATANGAS,041021025,Exact
Namunga,NAMUNGA,ROSARIO,ROSARIO,Batangas,BATANGAS,041021026,Exact
Nasi,NASI,ROSARIO,ROSARIO,Batangas,BATANGAS,041021028,Exact
Natu,NATU,ROSARIO,ROSARIO,Batangas,BATANGAS,041021027,Exact
Palakpak,PALAKPAK,ROSARIO,ROSARIO,Batangas,BATANGAS,041021029,Exact
Pinagsibaan,PINAGSIBAAN,ROSARIO,ROSARIO,Batangas,BATANGAS,041021030,Exact
Putingkahoy,PUTINGKAHOY,ROSARIO,ROSARIO,Batangas,BATANGAS,041021036,Exact
Quilib,QUILIB,ROSARIO,ROSARIO,Batangas,BATANGAS,041021037,Exact
Salao,SALAO,ROSARIO,ROSARIO,Batangas,BATANGAS,041021038,Exact
San Carlos-Rosario,SAN CARLOS,ROSARIO,ROSARIO,Batangas,BATANGAS,041021039,Ambiguous
San Ignacio,SAN IGNACIO,ROSARIO,ROSARIO,Batangas,BATANGAS,041021040,Exact
San Isidro-Rosario,SAN ISIDRO,ROSARIO,ROSARIO,Batangas,BATANGAS,041021041,Ambiguous
San Jose-Rosario,SAN JOSE,ROSARIO,ROSARIO,Batangas,BATANGAS,041021042,Ambiguous
San Roque-Rosario,SAN ROQUE,ROSARIO,ROSARIO,Batangas,BATANGAS,041021043,Ambiguous
Santa Cruz-Rosario,SANTA CRUZ,ROSARIO,ROSARIO,Batangas,BATANGAS,041021044,Ambiguous
Timbugan,TIMBUGAN,ROSARIO,ROSARIO,Batangas,BATANGAS,041021045,Exact
Tiquiwan,TIQUIWAN,ROSARIO,ROSARIO,Batangas,BATANGAS,041021046,Exact
Tulos,TULOS,ROSARIO,ROSARIO,Batangas,BATANGAS,041021048,Exact
,,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022000,Exact
Aguila,AGUILA,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022001,Exact
Anus,ANUS,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022002,Exact
Aya-Sanjose,AYA,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022003,Ambiguous
Bagong Pook-Sanjose,BAGONG POOK,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022004,Ambiguous
Balagtasin I,BALAGTASIN I,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022006,Exact
Balagtasin-Sanjose,BALAGTASIN,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022005,Ambiguous
Banaybanay I,BANAYBANAY I,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022007,Exact
Banaybanay II,BANAYBANAY II,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022008,Exact
Bigain I,BIGAIN I,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022009,Exact
Bigain II,BIGAIN II,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022010,Exact
Bigain South,BIGAIN SOUTH,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022033,Exact
Calansayan,CALANSAYAN,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022011,Exact
Dagatan-Sanjose,DAGATAN,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022012,Ambiguous
Don Luis,DON LUIS,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022013,Exact
Galamay-Amo,GALAMAY-AMO,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022014,Exact
Lalayat,LALAYAT,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022015,Exact
Lapolapo I,LAPOLAPO I,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022016,Exact
Lapolapo II,LAPOLAPO II,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022017,Exact
Lepute,LEPUTE,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022018,Exact
Lumil,LUMIL,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022019,Exact
Mojon-Tampoy,MOJON-TAMPOY,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022030,Exact
Natunuan,NATUNUAN,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022020,Exact
Palanca,PALANCA,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022021,Exact
Pinagtung-Ulan,PINAGTUNG-ULAN,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022022,Exact
Poblacion Barangay I,POBLACION BARANGAY I,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022023,Exact
Poblacion Barangay II,POBLACION BARANGAY II,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022024,Exact
Poblacion Barangay III,POBLACION BARANGAY III,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022025,Exact
Poblacion Barangay IV,POBLACION BARANGAY IV,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022026,Exact
Sabang-Sanjose,SABANG,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022027,Ambiguous
Salaban,SALABAN,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022028,Exact
Santo Cristo,SANTO CRISTO,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022029,Exact
Taysan,TAYSAN,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022031,Exact
Tugtug,TUGTUG,SAN JOSE,SAN JOSE,Batangas,BATANGAS,041022032,Exact
,,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023000,Exact
Abung,ABUNG,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023001,Exact
Balagbag-Sanjuan,BALAGBAG,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023002,Ambiguous
Barualte,BARUALTE,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023003,Exact
Bataan,BATAAN,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023004,Exact
Buhay Na Sapa,BUHAY NA SAPA,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023005,Exact
Bulsa,BULSA,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023006,Exact
Calicanto-Sanjuan,CALICANTO,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023007,Ambiguous
Calitcalit,CALITCALIT,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023008,Exact
Calubcub I,CALUBCUB I,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023009,Exact
Calubcub II,CALUBCUB II,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023010,Exact
Catmon,CATMON,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023011,Exact
Coloconto,COLOCONTO,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023012,Exact
Escribano,ESCRIBANO,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023013,Exact
Hugom,HUGOM,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023014,Exact
Imelda (Tubog),IMELDA,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023015,Ambiguous
Janaojanao,JANAOJANAO,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023016,Exact
Laiya-Aplaya,LAIYA-APLAYA,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023018,Exact
Laiya-Ibabao,LAIYA-IBABAO,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023017,Exact
Libato,LIBATO,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023019,Exact
Lipahan,LIPAHAN,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023020,Exact
Mabalanoy,MABALANOY,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023021,Exact
Maraykit,MARAYKIT,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023023,Exact
Muzon-Sanjuan,MUZON,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023024,Ambiguous
Nagsaulay,NAGSAULAY,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023022,Exact
Palahanan I,PALAHANAN I,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023025,Exact
Palahanan II,PALAHANAN II,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023026,Exact
Palingowak,PALINGOWAK,SAN JUAN,SAN JUAN,Batangas,BATANGAS,041023027,Exact
